Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,8452,9848,11796,5876,9240,10188,8476,6620,8996,12660,8552,6668,9788,6948,5752,6348,10216,6908,9448,5016,10108,11868,8136,11716,12920,7656,1956,11908,3812,8996,7464,9208,4040,8840,12584,13688,4364,8468,4552,8264,15512,6728,11132,7576,7688,8568,7836,7260,15128,5880,14776,7692,7688,15308,6680,4428,9480,7780,9164,7032,7064,6440,8660,5348,4476,17196,6596,8148,12468,8904,12808,9160,7988,7804,9128,8712,7640,8456,9832,8452,11384,5904,14460,5912,7896,7676,4792,8632,8536,8952,7260,6456,16420,13464,7464,14724,5388,10120,6120,9300,4312
Try move in direction: Left if produces a left merge -> Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,3412,9004,7692,9028,7972,5876,9764,3448,8680,6624,7428,5724,12900,8276,3888,6104,9284,12584,8028,7996,8632,7048,7780,8104,8696,3036,7496,4028,8536,4236,5332,8972,14124,6708,9608,8052,5932,3116,7212,8296,12832,7704,12920,11796,9300,10976,4320,9492,9680,7272,16484,2380,17416,5596,12936,6668,6676,14228,8328,3652,14600,5212,7128,4676,9412,8872,6540,9924,8088,3688,4252,9208,7960,4304,1404,7484,13384,12824,9764,12588,8008,9208,3344,4024,9812,16952,10212,4832,10200,10920,8340,7816,8320,3756,11704,1976,13700,6792,17348,12648,5036
Try move in direction: Left if merge possible -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,8408,8468,8540,8376,3720,4088,14236,7004,2944,9796,2792,11512,2008,8376,4616,6140,9928,9604,8916,12136,7484,8088,4856,7700,6708,8456,14980,12504,9436,8332,6404,9604,4044,8124,9352,9220,9220,7752,12624,4404,7272,9000,4176,4360,8216,6012,14936,5748,8460,6256,12936,7496,4308,11580,15804,2152,8152,6060,8172,2448,11896,6984,11592,10020,7768,6924,7416,6392,6312,6984,16164,4392,7916,3608,9764,6104,6772,3720,6344,8124,12396,3348,13268,11004,14252,8644,3432,10052,13364,9208,7704,4232,6360,8972,12232,6296,8648,9804,10008,17804,13892
Try move in direction: Left if merge possible -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,8440,10040,7556,4744,9028,3676,15864,9572,8900,4880,9396,7772,9804,10212,8856,8736,8052,23016,8132,11560,8772,6472,3652,17488,7996,8028,9476,14116,11740,6684,9960,6984,7196,9164,10212,13656,8916,5736,7572,6280,7384,12808,5776,17372,13216,7816,10020,11752,7224,8088,8008,10508,8464,10244,7732,6172,8420,3700,13592,7260,14680,8344,4732,6108,9072,13380,6732,8148,7320,8744,6812,18612,14612,5124,6664,5176,6024,9176,10196,9436,9880,8740,10152,7384,3900,8740,11384,14760,7620,9972,9496,10244,9220,7352,7880,8524,7740,4484,9208,9476,9220
Try move in direction: Left if produces a left merge -> Try move in direction: Left if merge possible -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,7668,6332,4316,9468,15388,9604,9432,13496,4552,8264,8728,8580,8712,10052,9432,8844,15332,8468,14916,3916,4680,9016,8548,5832,7084,8088,6304,3460,3628,8748,8288,7048,12824,6744,8580,8900,9884,4236,9604,4008,9432,13860,6472,8580,7556,3640,8136,6652,4296,16768,13860,7688,12360,8872,7700,4020,13116,3844,8524,8060,20504,3644,8148,11784,6440,9036,9816,4372,11456,9868,6536,6396,9032,7520,8840,8376,7592,9132,10120,8596,5012,8580,1820,7284,7256,8344,4304,8728,4212,11020,7732,4076,8008,7224,9112,7356,12440,7412,3960,4664,4936
Try move in direction: Left if merge possible -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,9784,7992,12664,8596,15316,8820,4412,8488,9220,8452,7304,8264,13404,5256,7768,9192,3408,6756,5956,13448,6924,13540,4360,12664,5364,11432,11828,9480,5400,6760,2836,18104,7724,4640,15160,4692,6620,4300,6456,8396,5592,9028,15160,13912,9800,8260,7372,6652,16080,3292,3916,5220,14812,8568,14804,9740,6228,6948,9864,9204,7692,13128,13532,13540,7556,12088,8136,7704,11076,12280,9048,12164,8284,8712,8444,7700,5476,6648,6664,9108,3868,12920,5788,4676,8532,13848,8316,10916,2236,4300,10104,7272,12272,14116,6232,10212,10004,7476,6664,10132,9412
Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,6796,10388,5696,1976,8996,4280,10844,8568,7320,3988,3920,2776,13700,8948,6792,6544,4748,7644,6808,4088,4124,5524,3860,7180,2876,18364,6604,8132,12348,3020,8728,4440,2460,10212,8188,7592,8296,5468,7352,7888,4404,4376,8488,3448,13592,4204,3612,6556,7496,3980,6060,13140,3608,4796,9476,5124,4432,7756,4136,4008,4316,13080,2556,1860,6024,6984,3908,3768,17084,4216,4484,5384,8456,7620,3884,11852,9176,3640,6156,9476,6620,9868,12588,5076,3648,1988,16644,3924,2780,9004,6664,5060,6340,3736,8456,8056,8440,3532,10200,4568,8580
Try move in direction: Left if merge possible -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,5916,3788,7964,8200,8728,8580,3284,4428,11468,6412,6588,8728,3708,12868,8328,3880,4608,5740,8580,11272,7428,3420,8228,6620,3224,9844,3596,5728,6036,9256,3496,8444,8552,4800,17608,5052,4328,15848,4328,5412,8184,7248,8004,14692,6220,9964,6548,5860,7100,4180,6908,6372,6516,2504,3596,6516,7620,7316,13640,3640,7944,4440,11064,9672,3368,7824,7656,6580,15432,10088,5412,8920,5580,9080,3404,3480,8916,3320,5172,7288,6796,6968,7952,3272,8376,4312,8280,3312,3016,7832,8460,5432,1188,5100,4224,8216,5756,7672,4684,2912,10228
Try move in direction: Left if merge possible -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,7532,13628,4312,4008,9608,8452,17656,10532,10248,7632,8188,8760,9800,7372,5720,3412,15112,10040,8088,4044,8456,9724,5628,12868,6696,11728,8456,3916,7136,6748,15260,18420,14472,14820,4360,6924,3324,3924,4808,6592,5388,13124,10364,7628,17192,6936,21868,9800,4372,7372,9592,8272,6796,10072,10244,13848,10116,6136,6760,8328,9924,10828,8124,6024,4168,4936,13460,6176,9080,4148,7452,9220,3952,5668,13092,10824,9164,3336,8116,3980,1228,10200,2844,13724,6652,6028,6980,2980,15236,11484,11876,6620,4040,7936,9208,4652,7864,17052,6620,8996,3672
Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,8936,3608,8828,9996,9472,9928,2828,1904,4056,13672,14476,8148,14508,7700,7544,8804,6124,7752,8904,15004,4472,4452,7416,1588,8548,12628,5900,4168,4360,8220,3160,5120,13196,8072,8984,20792,9752,9484,8856,4024,6664,8948,13568,17476,4320,11076,5544,8220,10264,2396,14440,7928,9304,5788,8940,3072,9884,4508,4348,8308,12248,8216,17164,13860,3724,7232,6340,9940,6460,14792,4372,13636,6860,10116,6540,4484,9764,9096,7980,15000,6504,8776,10116,9624,7964,15388,3516,8664,7692,3416,9164,4488,9332,6968,7636,14824,6552,3216,7540,6652,9492
