Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,2928,1248,1056,1184,1092,3136,1888,716,1552,3564,772
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,1980,2444,1456,1280,640,1476,748,1920,1712,1456,1548
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,452,1068,824,1200,3164,1068,2336,1272,1712,960,1232
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,2356,1468,1436,2936,1608,464,988,1452,1660,748,2076
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,540,536,1504,372,808,1028,1476,1532,2924,2512,348
Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,1300,572,1580,972,1728,1408,2480,1452,792,1328,2600
Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,1536,784,2144,780,576,3012,864,1216,1088,1468,1392
Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,584,688,2524,712,1052,1312,1500,1440,1560,2380,1248
Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,1324,664,1468,1336,1632,732,656,2608,1784,1236,2528
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,1192,1056,2104,1772,2840,1268,2332,1432,1748,920,932
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,1440,700,1500,1380,1032,1560,1888,2208,544,1708,1260
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,612,2420,2576,764,496,564,764,2908,684,1444,324
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,308,1136,840,1420,1204,2124,1528,1372,2508,448,2716
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,1184,2468,396,816,1540,1520,1280,708,496,1104,1320
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,916,1208,1580,1852,436,980,1472,640,1156,1612,928
Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,1776,1760,756,508,2940,568,1048,1316,484,1796,1476
Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,2368,1612,1376,1516,1504,468,1584,1344,844,1772,1168
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,1608,1580,1372,3056,1476,1280,684,908,756,1636,2228
